Acc_Betrag,Acc_X,Acc_Y,Acc_Z,Ori_Betrag,Ori_X,Ori_Y,Ori_Z,Timestamp
0.9887916868582584,-157,22,976,0.012744317603263012,-0.013888888888888888,11.872222222222222,4.633333333333334,1735404996705
0.9887916868582584,-157,22,976,0.012805775184908557,0.0,11.791666666666666,4.9944444444444445,1735404996736
0.9773029213094577,-160,15,964,0.01288445385860681,0.011111111111111112,11.725,5.341666666666667,1735404996795
0.9773029213094577,-160,15,964,0.012970075066175299,0.025,11.666666666666666,5.666666666666667,1735404996796
0.9773029213094577,-160,15,964,0.013068419785077777,0.03333333333333333,11.613888888888889,5.991666666666666,1735404996825
0.9969242699423061,-152,23,985,0.013177353258104941,0.03611111111111111,11.572222222222223,6.302777777777778,1735404996854
0.9969242699423061,-152,23,985,0.013303419278748332,0.005555555555555556,11.555555555555555,6.591666666666667,1735404996885
0.9969242699423061,-152,23,985,0.013439364570608552,-0.016666666666666666,11.544444444444444,6.8805555555555555,1735404996915
0.9969242699423061,-152,23,985,0.013580140785920892,-0.03888888888888889,11.533333333333333,7.169444444444444,1735404996945
0.978086397001819,-149,36,966,0.013815811638646784,-0.10833333333333334,11.661111111111111,7.408333333333333,1735404996975
0.978086397001819,-149,36,966,0.014039082903289379,-0.175,11.772222222222222,7.647222222222222,1735404997005
0.978086397001819,-149,36,966,0.01425232978572232,-0.23333333333333334,11.869444444444444,7.886111111111111,1735404997035
1.1743019202913705,-92,-125,1164,0.014655805374418681,-0.2916666666666667,12.344444444444445,7.894444444444445,1735404997065
1.1743019202913705,-92,-125,1164,0.015149578794617391,-0.175,12.994444444444444,7.786111111111111,1735404997094
1.1743019202913705,-92,-125,1164,0.015576961709881395,-0.075,13.55,7.683333333333334,1735404997124
0.014,6,-12,-4,0.01709737024938176,1.2666666666666666,15.2,7.725,1735404997155
0.014,6,-12,-4,0.043478629364548195,27.794444444444444,21.741666666666667,25.4,1735404997185
0.014,6,-12,-4,0.06490237742701738,48.0,14.686111111111112,41.141666666666666,1735404997214
0.014,6,-12,-4,0.06388571205869834,-48.32222222222222,6.844444444444444,41.225,1735404997245
0.026476404589747454,10,-24,5,0.054067678782142005,-37.76111111111111,3.0277777777777777,38.577777777777776,1735404997275
0.026476404589747454,10,-24,5,0.043114413533306785,-26.6,2.4944444444444445,33.83888888888889,1735404997305
0.026476404589747454,10,-24,5,0.034317280272606714,-17.394444444444446,4.891666666666667,29.175,1735404997334
1.1636846651907036,192,-237,-1123,0.043560020763891025,-22.43611111111111,4.8,37.02777777777778,1735404997364
1.1636846651907036,192,-237,-1123,0.05968555915983549,-32.397222222222226,11.197222222222223,-48.861111111111114,1735404997394
1.1636846651907036,192,-237,-1123,0.04434724240525691,-29.833333333333332,18.086111111111112,-27.377777777777776,1735404997424
0.006403124237432848,-5,0,4,0.026095963395811918,-21.43888888888889,14.497222222222222,-3.3472222222222223,1735404997455
0.006403124237432848,-5,0,4,0.02064069100102998,-20.505555555555556,-2.3444444444444446,-0.25277777777777777,1735404997485
0.006403124237432848,-5,0,4,0.028285105059198144,-21.36111111111111,-18.519444444444446,0.8833333333333333,1735404997515
0.006403124237432848,-5,0,4,0.05673521323918943,25.252777777777776,-15.272222222222222,-48.455555555555556,1735404997545
0.9796968919007552,-198,269,921,0.04111485652983768,13.983333333333333,-0.03888888888888889,-38.66388888888889,1735404997574
0.9796968919007552,-198,269,921,0.043239322345679516,8.430555555555555,15.508333333333333,-39.47222222222222,1735404997604
0.9796968919007552,-198,269,921,0.04185572405062979,-27.67222222222222,17.966666666666665,25.755555555555556,1735404997635
1.1631461645038426,-333,-32,1114,0.03730300200162627,-27.283333333333335,12.316666666666666,22.258333333333333,1735404997666
1.1631461645038426,-333,-32,1114,0.03356814126556148,-23.316666666666666,10.347222222222221,21.819444444444443,1735404997696
1.1631461645038426,-333,-32,1114,0.030128612815481313,-20.319444444444443,8.544444444444444,20.538888888888888,1735404997724
1.0061754320196852,-278,4,967,0.02734228032205574,-17.78611111111111,7.616666666666666,19.319444444444443,1735404997756
1.0061754320196852,-278,4,967,0.02592116148351229,-15.561111111111112,8.019444444444444,19.116666666666667,1735404997785
1.0061754320196852,-278,4,967,0.024848350076880552,-13.602777777777778,8.4,19.022222222222222,1735404997815
1.0061754320196852,-278,4,967,0.024069550874932993,-11.877777777777778,8.741666666666667,19.022222222222222,1735404997843
0.9857007659528322,-259,45,950,0.023609460399813684,-10.436111111111112,8.977777777777778,19.180555555555557,1735404997876
0.9857007659528322,-259,45,950,0.02333501928432886,-9.205555555555556,9.180555555555555,19.377777777777776,1735404997906
0.9857007659528322,-259,45,950,0.023194034427513714,-8.130555555555556,9.347222222222221,19.608333333333334,1735404997935
0.9862281683261739,-258,41,951,0.023138734993485822,-7.183333333333334,9.53888888888889,19.819444444444443,1735404997965
0.9862281683261739,-258,41,951,0.023155173174759167,-6.344444444444444,9.725,20.033333333333335,1735404997996
0.9862281683261739,-258,41,951,0.023238288567696965,-5.611111111111111,9.877777777777778,20.272222222222222,1735404998025
0.980131113678165,-254,35,946,0.023369778746106594,-4.969444444444444,9.991666666666667,20.533333333333335,1735404998053
0.980131113678165,-254,35,946,0.02353600505503466,-4.397222222222222,10.075,20.81111111111111,1735404998085
0.980131113678165,-254,35,946,0.023727712251789122,-3.9027777777777777,10.13888888888889,21.094444444444445,1735404998116
0.980131113678165,-254,35,946,0.023940259527301867,-3.475,10.188888888888888,21.383333333333333,1735404998145
