File,Predicted_Label,Softmax_Fall,Softmax_Idle,Acc_Betrag_mu,Acc_Betrag_sigma,Acc_X_mu,Acc_X_sigma,Acc_Y_mu,Acc_Y_sigma,Acc_Z_mu,Acc_Z_sigma,Ori_Betrag_mu,Ori_Betrag_sigma,Ori_X_mu,Ori_X_sigma,Ori_Y_mu,Ori_Y_sigma,Ori_Z_mu,Ori_Z_sigma,Acc_Betrag_Peak,Ori_Betrag_Peak,Acc_Peak_Frequency,Label
data_20241228-191938_aug_13.csv,FallEnlarged,0.9015657,0.09843434,-0.05508539643068762,0.0002607713725464922,-0.10261149218048238,0.23081928984584066,-0.142546804008137,0.28014519308341435,0.21088919837627781,0.26676638028070787,-0.05545110368266127,6.38163203288309e-06,-0.05320571400642315,0.00797228417580156,-0.05623195299902668,0.002715523618398044,-0.05522354647345096,0.009279158259272561,-0.054179871994103346,-0.05543624721577067,5.7142857142857135,FallEnlarged
data_20241228-191938_aug_8.csv,FallEnlarged,0.95294595,0.04705405,0.07378204786471768,0.00032993011603804016,0.010027801576092807,0.31137309652271977,-0.05083475637578563,0.29066330112904276,0.34647983705846574,0.31331478708632055,0.07339894953058897,7.565199877479992e-06,0.07489624223784747,0.009841535649563265,0.07268886530034678,0.003847447859419078,0.07110643199550533,0.013367330377948865,0.07470776049531413,0.07342104964621532,5.7142857142857135,FallEnlarged
data_20241228-175547_aug_19.csv,FallEnlarged,0.95021206,0.04978788,-0.04746829399203376,0.00029017389774107496,-0.2660319927283662,0.32807795984485183,0.1343090765056659,0.32055897346650986,-0.09272754347700507,0.3657264908573953,-0.047828146058525256,7.70878362995072e-06,-0.04910934967220885,0.017910154559968187,-0.05091885196017513,0.006198408232493427,-0.055694132019366384,0.01781773566598436,-0.046865616259888276,-0.04781217094673751,0.0,FallEnlarged
data_20241228-175547_aug_25.csv,FallEnlarged,0.9612645,0.038735505,0.13495283866184393,0.0002989068482087649,-0.04853045705333779,0.3488593912521519,0.3144634414971407,0.2931548007727402,0.12492914912509802,0.39245505395294367,0.13452797299750605,9.17524237478554e-06,0.13897066582522372,0.02003311694819867,0.13105613492721543,0.005779753984561067,0.12778585912791202,0.02026809152297594,0.13564836512045764,0.1345546673992266,0.0,FallEnlarged
data_20241228-191813_aug_15.csv,FallEnlarged,0.9079518,0.09204829,-0.1567403484184964,0.0002598177860286985,-0.08378394142607656,0.20752199524519127,-0.16176338483272557,0.27786416473488934,-0.24933935838927854,0.337055551525154,-0.1570762127142165,5.4926818178583505e-06,-0.1626252795636812,0.013919946438094124,-0.15679652114947545,0.0042407204328853585,-0.16091430238787846,0.012561877928056004,-0.1558262120123617,-0.15706270220134322,7.142857142857142,FallEnlarged
data_20241228-175336_aug_9.csv,FallEnlarged,0.90780044,0.092199594,0.0576760769569947,0.0002268797774883821,0.09198676448990777,0.20867877159821002,0.11404002537443983,0.37389097882295874,0.1545688576900966,0.3237117314646646,0.05733411197733995,7.1122923509697766e-06,0.052054199580558395,0.012725261147051409,0.05974695693821177,0.004096362302528158,0.05560644087754026,0.013878080115108826,0.05833970109164244,0.05735515707140437,5.7142857142857135,FallEnlarged
data_20241228-192031_aug_13.csv,FallEnlarged,0.96020937,0.03979067,0.153718909766525,0.00032591113907473504,0.12485549144206465,0.25974042839226474,0.27686256088324496,0.26520974809565817,-0.04617553802314652,0.40437277222680257,0.153393577248038,7.868281795296734e-06,0.13981490241340158,0.021933391515343265,0.1534151732793949,0.006083189645289813,0.15253458340712303,0.01739165119547225,0.15459263674827772,0.153409325254108,1.4285714285714284,FallEnlarged
data_20241228-191537_aug_12.csv,FallEnlarged,0.9613227,0.038677216,-0.12761854998751634,0.00029554216556327824,-0.019585221862916433,0.23981786610845207,-0.03161731040513165,0.22689224688084364,-0.19541160529375196,0.46423227067259343,-0.12796418723233646,1.1941517122198818e-05,-0.13785679726677477,0.02009444876275348,-0.12807740163266765,0.005844453767367804,-0.13068636512192688,0.016294525437247326,-0.12700908915168085,-0.12793778759064955,0.0,FallEnlarged
data_20241228-191612_aug_16.csv,FallEnlarged,0.9547894,0.045210633,-0.016671129840479595,0.00024381663003574035,-0.28754308698983305,0.23727275615631,0.19865354977561364,0.3019907742432575,-0.11762356148990157,0.36523102642000266,-0.017036604895767485,7.379856621607646e-06,-0.013762344658403638,0.02267972487673134,-0.02215686959306883,0.005406606654903955,-0.020548033905171216,0.015579665794987908,-0.016166586738773248,-0.01702063117550401,32.857142857142854,FallEnlarged
data_20241228-191700_aug_21.csv,FallEnlarged,0.9159432,0.08405682,0.055938258985930314,0.00031815743030112894,0.11810801423110664,0.2539937489370287,0.00048738874318510997,0.2855656374683859,0.33931390288779706,0.3272722434379628,0.05559648770134561,7.283650426019097e-06,0.05142852719669376,0.010007352761189959,0.05354055992374107,0.003976201820646912,0.054593989379906664,0.0140859161220542,0.05729088434960827,0.055610502064174616,2.8571428571428568,FallEnlarged
data_20241228-190927_aug_12.csv,FallEnlarged,0.9741033,0.025896711,0.08975405636499105,0.0003349722965859407,0.3332710841142509,0.2711290233816563,0.0787864384803261,0.28216171095600484,-0.0969365725019141,0.3373378409166839,0.08942093840511385,1.0111574540337098e-05,0.08779039055071902,0.016766074968328208,0.08846322358430483,0.005055956516383299,0.08407004680707489,0.014961668525449046,0.09068001960846139,0.08944264159865845,0.0,FallEnlarged
