Timestamp,Acc_X,Acc_Y,Acc_Z,Acc_Betrag,Ori_X,Ori_Y,Ori_Z,Ori_Betrag
1735581092191,20,-157,894,907.9014263674223,10222,-3734,-2538,11174.68048760232
1735581092191,45,-96,1000,1005.6047931468903,10188,-3582,-4386,11656.031228509986
1735581092195,45,-96,1000,1005.6047931468903,10032,-3434,-6148,12256.887206791127
1735581092225,45,-96,1000,1005.6047931468903,9870,-3324,-7913,13079.810587313565
1735581092255,45,-96,1000,1005.6047931468903,9712,-3253,-9682,14094.185928956664
1735581092285,-2,-209,1018,1039.2348146593242,9665,-3220,-11461,15334.117059681004
1735581092315,-2,-209,1018,1039.2348146593242,9653,-3187,-13257,16705.85008312956
1735581092345,-2,-209,1018,1039.2348146593242,9635,-3157,-15052,18148.349181123886
1735581092375,196,-59,912,934.6876483617401,9522,-3135,-16789,19554.212589618637
1735581092405,196,-59,912,934.6876483617401,9279,-3175,17598,20146.21726280147
1735581092435,196,-59,912,934.6876483617401,9088,-3265,15986,18676.299553177018
1735581092465,99,-36,1030,1035.3728796911769,8964,-3394,14358,17263.391787247372
1735581092495,99,-36,1030,1035.3728796911769,8953,-3541,12596,15854.151065257325
1735581092525,99,-36,1030,1035.3728796911769,8981,-3684,10829,14542.95217622612
1735581092555,99,-36,1030,1035.3728796911769,9041,-3815,9055,13352.412928006683
1735581092585,135,-18,993,1002.2963633576647,9063,-3925,7325,12296.309161695635
1735581092615,135,-18,993,1002.2963633576647,9096,-4030,5603,11418.043834212584
1735581092645,135,-18,993,1002.2963633576647,9150,-4124,3874,10758.148167784268
1735581092675,166,-44,916,931.959226575927,9204,-4191,2162,10341.776491493132
1735581092705,166,-44,916,931.959226575927,9258,-4242,475,10194.64334834721
1735581092735,166,-44,916,931.959226575927,9314,-4280,-1213,10321.83922564191
1735581092765,110,-32,1043,1049.2726051889472,9382,-4302,-2905,10722.320317916267
1735581092795,110,-32,1043,1049.2726051889472,9495,-4290,-4663,11415.020543126499
1735581092825,110,-32,1043,1049.2726051889472,9583,-4256,-6416,12292.78166242287
1735581092855,110,-32,1043,1049.2726051889472,9646,-4205,-8164,13318.342126556143
1735581092886,119,46,990,998.1868562548798,9610,-4148,-9861,14380.449401878928
1735581092915,119,46,990,998.1868562548798,9546,-4104,-11553,15538.363523872133
1735581092945,119,46,990,998.1868562548798,9484,-4074,-13245,16792.07423161296
1735581092975,59,-113,916,924.8275514927094,9483,-4048,-14969,18176.48354330397
1735581093005,59,-113,916,924.8275514927094,9581,-3995,-16739,19696.438942103214
1735581093036,59,-113,916,924.8275514927094,9646,-3924,17497,20361.436614345264
