Timestamp,Acc_X,Acc_Y,Acc_Z,Acc_Betrag,Ori_X,Ori_Y,Ori_Z,Ori_Betrag
1735577791429,372,-77,1004,1073.4658820847544,9893,-3814,11229,15443.71995343091
1735577791429,183,-78,1024,1043.143806001838,9641,-3860,9820,14292.686276554174
1735577791455,183,-78,1024,1043.143806001838,9555,-3917,8199,13185.769412514386
1735577791485,183,-78,1024,1043.143806001838,9497,-3989,6575,12220.30093737466
1735577791515,183,-78,1024,1043.143806001838,9465,-4071,4947,11429.438962608794
1735577791545,88,-109,989,998.8723642187724,9542,-4128,3206,10879.732717305145
1735577791575,88,-109,989,998.8723642187724,9648,-4159,1425,10602.443586268215
1735577791604,88,-109,989,998.8723642187724,9742,-4168,-354,10602.080173249022
1735577791635,45,-164,1001,1015.3432916999058,9839,-4151,-2159,10894.861311645964
1735577791665,45,-164,1001,1015.3432916999058,9955,-4100,-3995,11483.555634036002
1735577791695,45,-164,1001,1015.3432916999058,10034,-4025,-5823,12279.621736845154
1735577791725,203,-70,966,989.5781929691054,10079,-3947,-7622,13238.577491558524
1735577791755,203,-70,966,989.5781929691054,9932,-3933,-9208,14103.204494014826
1735577791785,203,-70,966,989.5781929691054,9808,-3947,-10795,15109.854334175428
1735577791815,203,-70,966,989.5781929691054,9710,-3984,-12385,16234.056209093278
1735577791845,113,-127,936,951.3117259868081,9736,-4018,-14082,17585.12848972108
1735577791875,113,-127,936,951.3117259868081,9798,-4035,-15814,19035.87731101459
1735577791905,113,-127,936,951.3117259868081,9853,-4039,-17546,20524.552272826804
1735577791935,149,-133,988,1007.9851189377748,9882,-4027,16726,19840.104057186796
1735577791965,149,-133,988,1007.9851189377748,9886,-4013,15023,18426.27726916102
1735577791995,149,-133,988,1007.9851189377748,9885,-3998,13320,17062.228137028294
1735577792025,102,-30,933,939.0383378755098,9879,-3989,11629,15771.506047299352
1735577792055,102,-30,933,939.0383378755098,9819,-3993,9906,14508.123448606302
1735577792085,102,-30,933,939.0383378755098,9770,-4009,8183,13359.882858767887
1735577792115,102,-30,933,939.0383378755098,9735,-4036,6457,12359.302973873568
1735577792145,63,-114,1041,1049.116771384387,9794,-4048,4663,11578.096087008433
1735577792175,63,-114,1041,1049.116771384387,9873,-4040,2857,11043.558212822532
1735577792205,63,-114,1041,1049.116771384387,9935,-4014,1054,10766.955790751626
1735577792235,215,-129,952,984.4643213443543,9920,-3997,-647,10714.52369449991
1735577792265,215,-129,952,984.4643213443543,9839,-4014,-2216,10854.896268504826
1735577792295,215,-129,952,984.4643213443543,9775,-4045,-3787,11236.281368851529
1735577792325,107,-141,1004,1019.4832024118887,9746,-4081,-5377,11855.4293891027
1735577792355,107,-141,1004,1019.4832024118887,9840,-4080,-7122,12813.855157601869
1735577792414,107,-141,1004,1019.4832024118887,9915,-4059,-8864,13905.1501969594
1735577792415,107,-141,1004,1019.4832024118887,9971,-4023,-10603,15100.628430631621
1735577792445,112,-82,948,958.108553348732,9971,-3973,-12343,16357.11524077519
1735577792475,112,-82,948,958.108553348732,9943,-3928,-14079,17677.97143339699
1735577792505,112,-82,948,958.108553348732,9909,-3890,-15814,19063.131353479155
1735577792535,190,-117,939,965.147657097089,9855,-3868,-17503,20455.743887720142
1735577792565,190,-117,939,965.147657097089,9789,-3870,16871,19885.47364283788
1735577792595,190,-117,939,965.147657097089,9736,-3885,15244,18500.336672612204
1735577792625,245,-87,996,1029.37359593104,9707,-3909,13609,17167.1491809211
1735577792655,245,-87,996,1029.37359593104,9649,-3952,12016,15909.297941769775
1735577792685,245,-87,996,1029.37359593104,9612,-4004,10422,14732.29934531606
1735577792715,245,-87,996,1029.37359593104,9593,-4063,8825,13653.36013587864
1735577792745,-2,-120,980,987.3216294602281,9712,-4082,7024,12661.842046084765
1735577792775,-2,-120,980,987.3216294602281,9870,-4050,5135,11840.085514893884
1735577792805,-2,-120,980,987.3216294602281,9988,-3984,3253,11234.518636773006
1735577792835,71,-105,1003,1010.9772499913141,10009,-3906,1442,10840.492654856605
1735577792865,71,-105,1003,1010.9772499913141,9956,-3845,-295,10676.74978633479
1735577792895,71,-105,1003,1010.9772499913141,9897,-3796,-2032,10793.01853051314
1735577792925,89,-130,993,1005.4203101191064,9832,-3759,-3761,11177.809534967037
1735577792955,89,-130,993,1005.4203101191064,9768,-3733,-5460,11796.639902955418
1735577792985,89,-130,993,1005.4203101191064,9710,-3720,-7158,12623.765840667356
1735577793015,89,-130,993,1005.4203101191064,9659,-3721,-8858,13623.739794931493
1735577793045,166,-100,958,977.4047268148441,9578,-3749,-10504,14701.26188461385
1735577793075,166,-100,958,977.4047268148441,9496,-3800,-12124,15862.0740131926
1735577793105,166,-100,958,977.4047268148441,9440,-3867,-13746,17117.821269075102
1735577793135,28,-132,951,960.5253770723604,9467,-3932,-15459,18548.999811310583
1735577793165,28,-132,951,960.5253770723604,9587,-3964,-17294,20166.960628711506
1735577793195,28,-132,951,960.5253770723604,9692,-3969,16870,19856.60406514669
1735577793225,140,-162,1016,1038.315944209661,9758,-3953,15048,18365.377126538948
1735577793255,140,-162,1016,1038.315944209661,9724,-3954,13370,16998.446752571246
1735577793285,140,-162,1016,1038.315944209661,9696,-3961,11692,15697.28642154433
1735577793315,140,-162,1016,1038.315944209661,9675,-3974,10013,14479.588046626188
1735577793345,74,-156,965,980.3249461275583,9698,-3963,8227,13320.664472915756
1735577793375,74,-156,965,980.3249461275583,9724,-3943,6419,12300.690468424933
1735577793405,74,-156,965,980.3249461275583,9740,-3917,4613,11466.920161926653
1735577793435,151,-71,966,980.305054562099,9701,-3905,2879,10846.523267849472
1735577793465,151,-71,966,980.305054562099,9590,-3928,1221,10434.947292631621
1735577793495,151,-71,966,980.305054562099,9504,-3973,-438,10310.314689668789
1735577793525,71,-128,954,965.1637166823047,9443,-4033,-2103,10481.314182868482
1735577793555,71,-128,954,965.1637166823047,9504,-4083,-3861,11041.024680707855
1735577793615,71,-128,954,965.1637166823047,9567,-4119,-5622,11836.407140682513
1735577793616,71,-128,954,965.1637166823047,9627,-4141,-7384,12819.924570760937
1735577793645,81,-137,984,996.787841017335,9740,-4147,-9179,14011.397146608899
1735577793675,81,-137,984,996.787841017335,9833,-4129,-10968,15298.155248264413
1735577793705,81,-137,984,996.787841017335,9903,-4093,-12753,16657.16263353396
1735577793735,71,-94,1027,1033.7340083406368,9945,-4040,-14540,18073.080119337712
1735577793765,71,-94,1027,1033.7340083406368,9948,-3982,-16331,19532.552035000444
1735577793795,71,-94,1027,1033.7340083406368,9935,-3924,17881,20828.638025564705
1735577793825,137,-52,1000,1010.6794744131297,9915,-3870,16090,19291.76573048719
1735577793855,137,-52,1000,1010.6794744131297,9823,-3839,14357,17814.39583595245
1735577793885,137,-52,1000,1010.6794744131297,9741,-3827,12622,16396.581777919444
1735577793915,137,-52,1000,1010.6794744131297,9671,-3834,10887,15058.371957153933
1735577793945,93,-67,1004,1010.521647467287,9635,-3852,9151,13835.170038709319
1735577793975,93,-67,1004,1010.521647467287,9623,-3872,7398,12740.679612956288
1735577794005,93,-67,1004,1010.521647467287,9618,-3895,5643,11811.87529565056
1735577794035,32,1,969,969.528751507659,9610,-3922,3898,11087.316537377294
1735577794065,32,1,969,969.528751507659,9598,-3952,2122,10594.469878195889
1735577794095,32,1,969,969.528751507659,9597,-3984,345,10396.81153046452
1735577794125,114,-155,1045,1062.565762670716,9615,-4015,-1448,10519.750662444429
1735577794155,114,-155,1045,1062.565762670716,9730,-4036,-3183,11004.257585134947
1735577794185,114,-155,1045,1062.565762670716,9829,-4033,-4917,11706.887673502297
1735577794215,100,-109,1009,1019.7852715155284,9911,-4006,-6654,12591.730341775907
1735577794245,100,-109,1009,1019.7852715155284,9947,-3959,-8412,13615.36756756864
1735577794275,100,-109,1009,1019.7852715155284,9963,-3905,-10165,14759.323121335883
1735577794305,100,-109,1009,1019.7852715155284,9962,-3849,-11916,16001.478087976748
1735577794335,126,-85,1134,1144.140288601009,9974,-3793,-13687,17355.157561946824
1735577794365,126,-85,1134,1144.140288601009,9959,-3739,-15446,18754.751877857514
1735577794395,126,-85,1134,1144.140288601009,9933,-3690,-17203,20204.54894324543
1735577794425,54,-106,961,968.3351692466819,9859,-3639,17060,20037.110620046995
1735577794455,54,-106,961,968.3351692466819,9767,-3578,15287,18490.233692411788
1735577794485,54,-106,961,968.3351692466819,9678,-3539,13513,16993.80398851299
1735577794515,41,-136,904,915.0917986737724,9583,-3532,11758,15574.321076695445
1735577794545,41,-136,904,915.0917986737724,9516,-3568,10030,14278.85779745705
1735577794575,41,-136,904,915.0917986737724,9469,-3617,8299,13100.307286472329
1735577794605,41,-136,904,915.0917986737724,9443,-3675,6566,12074.279688660521
1735577794635,40,-205,1050,1070.5722768687783,9506,-3719,4796,11278.147587259176
1735577794665,40,-205,1050,1070.5722768687783,9586,-3743,3024,10725.950820323576
1735577794695,40,-205,1050,1070.5722768687783,9657,-3750,1252,10434.924676297382
1735577794725,20,-77,972,975.2502243014354,9676,-3742,-527,10387.746098167783
1735577794755,20,-77,972,975.2502243014354,9628,-3743,-2323,10587.953626645707
1735577794785,20,-77,972,975.2502243014354,9589,-3754,-4119,11090.879045413849
1735577794815,117,-65,947,956.4115223061672,9562,-3777,-5915,11861.06226271492
1735577794845,117,-65,947,956.4115223061672,9484,-3834,-7606,12747.43299648992
1735577794875,117,-65,947,956.4115223061672,9434,-3905,-9300,13810.842877970917
1735577794905,117,-65,947,956.4115223061672,9410,-3984,-10998,15012.540091536808
1735577794935,-10,-101,964,969.3281178218241,9548,-4031,-12866,16521.114399458653
1735577794965,-10,-101,964,969.3281178218241,9707,-4034,-14782,18138.537124035112
1735577794995,-10,-101,964,969.3281178218241,9836,-4001,-16692,19783.269724694146
1735577795025,172,-50,993,1009.0257677581876,9864,-3954,17490,20465.40280571091
1735577795055,172,-50,993,1009.0257677581876,9771,-3939,15818,19005.191027716613
1735577795085,172,-50,993,1009.0257677581876,9693,-3944,14144,17594.377539430032
1735577795115,-5,-92,958,962.4203863177463,9622,-3963,12481,16250.034276886927
1735577795145,-5,-92,958,962.4203863177463,9702,-3957,10647,14938.04746277103
1735577795175,-5,-92,958,962.4203863177463,9765,-3934,8816,13731.47614060484
1735577795205,-5,-92,958,962.4203863177463,9810,-3897,6988,12659.180581696432
1735577795235,79,-141,1007,1019.8877389203186,9848,-3840,5178,11770.318092558076
1735577795265,79,-141,1007,1019.8877389203186,9861,-3781,3403,11095.751033616427
1735577795295,79,-141,1007,1019.8877389203186,9856,-3720,1631,10660.173403842922
1735577795325,98,-30,919,924.6972477519331,9771,-3670,-115,10438.13038814902
1735577795355,98,-30,919,924.6972477519331,9613,-3658,-1842,10449.100296197754
1735577795385,98,-30,919,924.6972477519331,9483,-3681,-3573,10781.62228052903
1735577795415,129,-85,970,982.2250251342612,9392,-3730,-5309,11415.254924880128
1735577795445,129,-85,970,982.2250251342612,9375,-3788,-7021,12309.915109374231
1735577795475,129,-85,970,982.2250251342612,9375,-3849,-8735,13379.299346378344
1735577795505,129,-85,970,982.2250251342612,9390,-3908,-10452,14583.856417285519
1735577795535,28,-84,932,936.196560557664,9448,-3941,-12274,15982.717572428039
1735577795565,28,-84,932,936.196560557664,9523,-3952,-14133,17494.21395776329
1735577795595,28,-84,932,936.196560557664,9587,-3947,-15992,19058.68416234447
1735577795625,5,-102,1010,1015.149742648837,9699,-3947,-17861,20704.220125375406
1735577795655,5,-102,1010,1015.149742648837,9832,-3923,16254,19397.18198605148
1735577795685,5,-102,1010,1015.149742648837,9932,-3870,14376,17896.672875146374
