Timestamp,Acc_X,Acc_Y,Acc_Z,Acc_Betrag,Ori_X,Ori_Y,Ori_Z,Ori_Betrag
1735561141160,496,-714,629,1073.0577803641331,456,-7827,-15498,17368.300694080583
1735561141190,555,-673,605,1061.592671414041,-230,-7706,-17899,19488.702804445453
1735561141220,555,-673,605,1061.592671414041,-1027,-7605,15881,17637.93964724905
1735561141250,555,-673,605,1061.592671414041,-1750,-7580,13699,15753.777356558014
1735561141280,490,-690,560,1014.7906187977892,-2427,-7623,11585,14078.802612438318
1735561141310,490,-690,560,1014.7906187977892,-3102,-7779,9633,12764.401043527268
1735561141340,490,-690,560,1014.7906187977892,-3409,-7941,7400,11377.203610729659
1735561141370,490,-690,560,1014.7906187977892,-3271,-8082,4751,9929.25807903088
1735561141400,522,-690,572,1037.1923640289683,-2161,-8111,1067,8461.485153328582
1735561141430,522,-690,572,1037.1923640289683,-1340,-8037,-2485,8518.461950375784
1735561141459,522,-690,572,1037.1923640289683,-1029,-7934,-5625,9779.970449853108
1735561141491,446,-656,490,932.3904761418362,-1304,-7864,-8247,11469.782953482598
1735561141521,446,-656,490,932.3904761418362,-1716,-7885,-10716,13414.564361171033
1735561141550,446,-656,490,932.3904761418362,-1993,-7926,-13265,15580.556793645084
1735561141580,505,-606,524,947.0147834115368,-2067,-8002,-15990,17999.572022689874
1735561141610,505,-606,524,947.0147834115368,-1767,-8057,16829,18741.738953469605
1735561141640,505,-606,524,947.0147834115368,-1359,-8073,13491,15780.598562792224
1735561141670,505,-606,524,947.0147834115368,-1014,-8057,10158,13004.93786990157
1735561141700,500,-669,539,994.0231385636855,-812,-8015,6983,10661.231542368827
1735561141730,500,-669,539,994.0231385636855,-782,-7970,3978,8941.862669488946
1735561141760,500,-669,539,994.0231385636855,-874,-7936,1096,8058.857735436208
1735561141790,519,-617,592,1000.2569669839846,-1096,-7926,-1639,8167.5585703440165
1735561141820,519,-617,592,1000.2569669839846,-1343,-7934,-4342,9143.575285412157
1735561141850,519,-617,592,1000.2569669839846,-1511,-7955,-7092,10763.903102499577
1735561141880,526,-674,580,1033.1272912860254,-1492,-7973,-10038,12905.66685607528
1735561141910,526,-674,580,1033.1272912860254,-1217,-7966,-13262,15518.340407401818
1735561141940,526,-674,580,1033.1272912860254,-1053,-7940,-16411,18261.25214764858
1735561141970,526,-674,580,1033.1272912860254,-1005,-7910,16536,18358.034235723608
1735561142000,465,-690,534,988.676387904556,-1105,-7912,13684,15845.271376659979
1735561142030,465,-690,534,988.676387904556,-1145,-7933,10792,13442.870898732905
1735561142060,465,-690,534,988.676387904556,-1123,-7951,7841,11223.226407767064
1735561142089,576,-637,553,1021.4470128205378,-1153,-7900,4966,9402.157465177872
1735561142120,576,-637,553,1021.4470128205378,-1435,-7795,2337,8263.341878441192
1735561142150,576,-637,553,1021.4470128205378,-1830,-7736,-134,7950.632176122852
1735561142180,413,-666,528,944.9386223453881,-2258,-7732,-2531,8443.242801199074
1735561142209,413,-666,528,944.9386223453881,-2682,-7935,-4851,9679.336237573318
1735561142240,413,-666,528,944.9386223453881,-2548,-8109,-7685,11458.944541274297
1735561142270,413,-666,528,944.9386223453881,-1803,-8216,-11177,13988.523653338118
1735561142300,536,-782,561,1101.6083696123592,-565,-8215,-15228,17311.77154424122
1735561142330,536,-782,561,1101.6083696123592,97,-8100,17176,18990.37611528534
1735561142360,536,-782,561,1101.6083696123592,167,-7986,14105,16209.722699663927
1735561142390,450,-748,559,1036.5736828609918,-164,-7888,11476,13926.450229688828
1735561142420,450,-748,559,1036.5736828609918,-599,-7865,9002,11968.835782982404
1735561142450,450,-748,559,1036.5736828609918,-971,-7875,6525,10272.978681959776
1735561142480,538,-727,548,1057.486170122333,-1231,-7903,3979,8933.37623745916
1735561142510,538,-727,548,1057.486170122333,-1422,-7863,1345,8102.954893123866
1735561142539,538,-727,548,1057.486170122333,-1643,-7847,-1228,8110.662241765465
1735561142570,538,-727,548,1057.486170122333,-1841,-7850,-3793,8910.590889497733
1735561142600,425,-689,525,964.8683848069642,-2305,-7937,-6034,10233.18865261459
1735561142630,425,-689,525,964.8683848069642,-2494,-8063,-8502,11979.816734825286
1735561142660,425,-689,525,964.8683848069642,-2288,-8165,-11352,14169.335658385682
1735561142690,484,-660,567,995.6630956302438,-1379,-8205,-15015,17166.068012215263
1735561142720,484,-660,567,995.6630956302438,-497,-8139,17154,18993.42112416823
1735561142750,484,-660,567,995.6630956302438,-171,-8044,13774,15951.747647201544
1735561142780,416,-691,543,972.3096214683881,-191,-7970,10684,13330.612776613085
1735561142810,416,-691,543,972.3096214683881,-136,-8001,7502,10968.796697906293
1735561142840,416,-691,543,972.3096214683881,-15,-8016,4243,9069.703964297843
1735561142870,416,-691,543,972.3096214683881,115,-8018,956,8075.610503237511
1735561142900,484,-631,608,1001.0399592423871,-208,-8029,-1822,8235.762806200772
1735561142930,484,-631,608,1001.0399592423871,-499,-8040,-4607,9279.819502554994
1735561142960,484,-631,608,1001.0399592423871,-690,-8065,-7455,11004.424110329444
1735561142990,477,-655,607,1012.4243181591403,-725,-8094,-10405,13202.366681773387
1735561143020,477,-655,607,1012.4243181591403,-649,-8111,-13439,15710.386468830104
1735561143050,477,-655,607,1012.4243181591403,-537,-8118,-16520,18414.686883028993
1735561143080,516,-782,634,1131.254171263028,-508,-8094,16472,18360.220151185553
1735561143110,516,-782,634,1131.254171263028,-665,-8004,13823,15986.91871499946
1735561143140,516,-782,634,1131.254171263028,-994,-7939,11377,13908.698213707852
1735561143170,372,-613,455,849.2219968889171,-1293,-7840,8969,11982.504329229345
1735561143200,372,-613,455,849.2219968889171,-1846,-7781,6705,10435.933211744888
1735561143230,372,-613,455,849.2219968889171,-2348,-7776,4469,9270.989213670782
1735561143260,372,-613,455,849.2219968889171,-2746,-7803,2198,8559.119639308707
1735561143290,410,-719,948,1258.4772544627099,-4477,-7934,1469,9227.667419234398
1735561143320,410,-719,948,1258.4772544627099,-6666,-8055,1630,10581.84676698732
1735561143350,410,-719,948,1258.4772544627099,-8667,-8146,1919,12048.102174201545
1735561143380,307,-1000,353,1104.0190215752625,-10036,-7985,1976,12976.366864419331
1735561143410,307,-1000,353,1104.0190215752625,-16112,-6570,4978,18098.119460319627
1735561143440,307,-1000,353,1104.0190215752625,17247,-5084,4312,18490.522139734185
1735561143470,555,-1005,622,1305.7312127693049,15909,-4216,2936,16717.985315222646
1735561143500,555,-1005,622,1305.7312127693049,16279,-3976,1544,16828.498239593453
1735561143530,555,-1005,622,1305.7312127693049,16552,-3679,224,16957.41492681004
1735561143561,555,-1005,622,1305.7312127693049,16725,-3344,-1025,17086.795662148008
1735561143591,317,-897,452,1053.2815388109677,12515,-2044,1142,12732.137487476328
1735561143620,317,-897,452,1053.2815388109677,9228,115,1865,9415.276628968477
1735561143650,317,-897,452,1053.2815388109677,6319,2255,1041,6789.585186150918
1735561143680,337,-672,456,879.2547981103089,2528,3439,-1058,4397.370691674742
1735561143710,337,-672,456,879.2547981103089,-2113,3121,-3206,4948.115398815998
1735561143740,337,-672,456,879.2547981103089,-5516,1751,-4549,7361.090815904936
1735561143770,472,-732,219,898.091866125064,-8373,636,-5081,9814.692353813236
1735561143800,472,-732,219,898.091866125064,-11416,600,-5405,12645.120837698625
1735561143830,472,-732,219,898.091866125064,-14026,403,-5684,15139.317719104782
1735561143860,472,-732,219,898.091866125064,14991,130,-5729,16048.9383449498
1735561143890,697,-1011,364,1280.7911617433967,10996,-1701,-6021,12651.39747221626
1735561143920,697,-1011,364,1280.7911617433967,7097,-3335,-5246,9434.519065643994
1735561143950,697,-1011,364,1280.7911617433967,2310,-4074,-3277,5715.969296628526
1735561143980,515,-952,62,1084.146207852059,-2410,-3443,-3072,5205.721179625355
1735561144010,515,-952,62,1084.146207852059,-5722,-2708,-4682,7873.733040940619
1735561144040,515,-952,62,1084.146207852059,-8452,-2811,-6597,11084.15238076417
1735561144070,649,-609,41,890.9337798063333,-10802,-3273,-8515,14138.633526617768
1735561144100,649,-609,41,890.9337798063333,-13380,-3864,-10518,17452.312740722933
1735561144130,649,-609,41,890.9337798063333,-16846,-4782,-12541,21539.078926453658
1735561144160,649,-609,41,890.9337798063333,11262,-6910,-12155,17953.405498679072
1735561144190,602,-851,161,1054.7634805964794,1272,-6701,-5040,8480.742007631172
1735561144221,602,-851,161,1054.7634805964794,-1008,-4723,-4784,6797.753231767096
1735561144250,602,-851,161,1054.7634805964794,-2414,-3070,-5380,6648.059566520144
1735561144280,405,-608,-135,742.9091465313911,-4258,-2758,-6433,8192.717314786347
1735561144310,405,-608,-135,742.9091465313911,-10868,-4240,-6336,13275.387753282388
1735561144340,405,-608,-135,742.9091465313911,-17707,-4855,-4818,18982.149456792293
1735561144370,547,-854,187,1031.2584545107982,14012,-4234,-4467,15304.149404654934
1735561144400,547,-854,187,1031.2584545107982,10553,-4842,-3705,12187.608379005293
1735561144430,547,-854,187,1031.2584545107982,7192,-5024,-2471,9114.344792688062
1735561144460,547,-854,187,1031.2584545107982,4369,-4744,-1324,6583.819028497062
1735561144490,668,-1072,226,1283.1539268536726,1199,-6054,-368,6182.551334198528
1735561144521,668,-1072,226,1283.1539268536726,-4226,-7074,2803,8703.870460892671
1735561144550,668,-1072,226,1283.1539268536726,-10478,-6487,6775,14063.08209461923
1735561144580,317,-889,268,981.1391338643057,-15283,-7472,8215,18891.455687691196
1735561144610,317,-889,268,981.1391338643057,4199,-6749,-15029,17001.51296208664
1735561144640,317,-889,268,981.1391338643057,2576,-4072,-16317,17013.56661608612
1735561144670,271,-1099,116,1137.847968755053,116,-2105,-17922,18045.569123748908
1735561144700,271,-1099,116,1137.847968755053,-4756,-2063,16368,17169.360180274627
1735561144730,271,-1099,116,1137.847968755053,-9332,-3375,14678,17717.802713654986
1735561144760,271,-1099,116,1137.847968755053,-14140,-5417,13967,20600.014029121437
1735561144790,583,-837,-222,1043.9070839878423,17122,-4731,10187,20477.309735412022
1735561144821,583,-837,-222,1043.9070839878423,13831,-5664,5299,15857.391273472444
1735561144850,583,-837,-222,1043.9070839878423,14336,-6565,-2757,16006.910070341497
1735561144880,294,-1165,81,1204.2516348338497,6350,-7736,-104,10008.946597919283
1735561144910,294,-1165,81,1204.2516348338497,-368,-5574,2453,6100.992460247759
1735561144940,294,-1165,81,1204.2516348338497,-3462,-3623,723,5063.032885534124
