Timestamp,Acc_X,Acc_Y,Acc_Z,Acc_Betrag,Ori_X,Ori_Y,Ori_Z,Ori_Betrag
1735576891225,229,-48,970,997.8201240704659,9562,-4376,-3435,11062.569547803982
1735576891225,229,-48,970,997.8201240704659,9536,-4468,-4998,11656.685806866375
1735576891232,102,-79,958,966.6483331594794,9554,-4553,-6597,12471.132025602166
1735576891261,102,-79,958,966.6483331594794,9746,-4576,-8415,13665.157042639503
1735576891292,102,-79,958,966.6483331594794,9908,-4562,-10229,14953.686802925893
1735576891321,102,-79,958,966.6483331594794,10035,-4516,-12037,16309.041970637025
1735576891352,220,-6,1104,1125.722878864954,10047,-4499,-13702,17576.348141750037
1735576891381,220,-6,1104,1125.722878864954,10008,-4496,-15321,18844.28616318485
1735576891412,220,-6,1104,1125.722878864954,9975,-4501,-16940,20167.380246328474
1735576891441,152,-215,1000,1034.0836523221901,10007,-4482,17366,20537.9241648225
1735576891472,152,-215,1000,1034.0836523221901,10157,-4414,15604,19134.598532501277
1735576891502,152,-215,1000,1034.0836523221901,10259,-4317,13855,17772.017189953425
1735576891561,203,12,919,941.2300462692423,10298,-4211,12158,16480.23934899005
1735576891562,203,12,919,941.2300462692423,10059,-4163,10603,15196.63314685197
1735576891592,203,12,919,941.2300462692423,9853,-4157,9043,14004.93152428815
1735576891622,203,12,919,941.2300462692423,9683,-4189,7479,12932.27168752652
1735576891652,217,-86,1034,1060.0193394462196,9652,-4221,5819,12034.895346449839
1735576891682,217,-86,1034,1060.0193394462196,9656,-4253,4162,11342.33613502968
1735576891712,217,-86,1034,1060.0193394462196,9667,-4285,2502,10866.099484175544
1735576891742,114,-174,1019,1040.0158652636026,9734,-4316,807,10678.476529917552
1735576891772,114,-174,1019,1040.0158652636026,9888,-4313,-964,10830.688297610637
1735576891802,114,-174,1019,1040.0158652636026,10013,-4280,-2731,11226.617032748556
1735576891833,289,-131,959,1010.1301896290398,10073,-4227,-4448,11794.810808147793
1735576891863,289,-131,959,1010.1301896290398,9899,-4228,-5876,12263.505249315956
1735576891892,289,-131,959,1010.1301896290398,9754,-4257,-7305,12908.35349686396
1735576891922,78,9,975,978.1564292075169,9666,-4301,-8771,13742.656147921332
1735576891952,78,9,975,978.1564292075169,9691,-4307,-10554,14961.70598561541
1735576891982,78,9,975,978.1564292075169,9713,-4308,-12336,16281.220132410224
1735576892012,78,9,975,978.1564292075169,9731,-4305,-14118,17678.89447901084
